,LONGITUDE,LATITUDE,ADDRESSBLOCKHOUSENUMBER,EST_ORIGINAL_COMPLETION_DATE,STATUS,LANDYADDRESSPOINT,PHOTOURL,DESCRIPTION,NAME,ADDRESSTYPE,HUP_COMPLETION_DATE,LANDXADDRESSPOINT,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,ADDRESS_MYENV,INC_CRC,FMEL_UPD_D,APPROXIMATE_GFA,AWARDED_DATE,ADDRESSBUILDINGNAME,IMPLEMENTATION_DATE,CLEANINGSTARTDATE,INFO_ON_CO_LOCATORS,CLEANINGENDDATE,RNR_STATUS
69,103.814165010384,1.32413422253318,2,1974,Existing,34041.56,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267437914368.jpg,HUP Standard Upgrading,Adam Road Food Centre,I,30/4/2002,25868.4,Adam Road,289876,"2, Adam Road, Singapore 289876",EC26BEAC6FC68D04,20210330151704,941.5,,,,,,,
70,103.88701902611,1.32064829234987,117,15/9/1978,Existing,33656.16,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154437879.jpg,HUP Standard Upgrading,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),I,30/11/2005,33976.33,Aljunied Ave 2,380117,"Blk 117, Aljunied Ave 2, Singapore 380117",AA7744C0BF961D25,20210330151704,,,,,,,,
71,103.846606784092,1.27921844263269,,1983,Existing,29075,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265968760190.jpg,HUP Standard Upgrading,Amoy Street Food Centre (Telok Ayer Food Centre),I,17/2/2003,29478.87,Telok Ayer Street,69111,"National Development Building, Annex B, Telok Ayer Street, Singapore 069111",81106E0569F14101,20210330151704,3539,,National Development Building,,,,,
72,103.839231344066,1.36678764523637,226D,13/10/1976,Existing,38757.950000000004,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154827180.jpg,HUP Standard Upgrading,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),I,20/1/2010,28658.02,Ang Mo Kio Ave 1,564226,"Blk 226D, Ang Mo Kio Ave 1, Singapore 564226",0177924BDD93F6F1,20210330151704,,,,,,,,
73,103.848254220438,1.36410517096399,341,1979,Existing,38461.340000000004,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538105392.jpg,HUP Rebuilding,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),I,1/3/2002,29662.16,Ang Mo Kio Ave 1,560341,"Blk 341, Ang Mo Kio Ave 1, Singapore 560341",07D7927BB122EA19,20210330151704,,,,,,,,
74,103.855369790045,1.36276891777383,409,31/7/1979,Existing,38313.590000000004,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538704472.jpg,HUP Standard Upgrading,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),I,28/11/2011,30454.04,Ang Mo Kio Ave 10,560409,"Blk 409, Ang Mo Kio Ave 10, Singapore 560409",6728AD9466975650,20210330151704,,,,,,,,
75,103.856351437414,1.36824049310006,453A,11/4/1979,Existing,38918.61,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259902043777.jpg,HUP Standard Upgrading,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),I,1/1/2002,30563.28,Ang Mo Kio Ave 10,561453,"Blk 453A, Ang Mo Kio Ave 10, Singapore 561453",D0070B6740BA2459,20210330151704,,,,,,,,
76,103.854482811591,1.37276992816898,527,24/12/1979,Existing,39419.450000000004,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165592824.jpg,HUP Reconfiguration,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),I,21/2/2004,30355.32,Ang Mo Kio Ave 10,560527,"Blk 527, Ang Mo Kio Ave 10, Singapore 560527",4658734009F689AC,20210330151704,,,,,,,,
77,103.839214290038,1.37448912101909,160/162,30/6/1981,Existing,39609.54,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165416622.jpg,HUP Standard Upgrading,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),I,31/12/2008,28656.12,Ang Mo Kio Ave 4,560160,"Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162",546287EB6E4D82D7,20210330151704,,,,,,,,
78,103.840682307297,1.38102486670548,628,31/12/1979,Existing,40332.23,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-628-ang-mo-kio-ave-4.jpg,HUP Rebuilding,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),I,16/12/2009,28819.49,Ang Mo Kio Ave 4,560628,"Blk 628, Ang Mo Kio Ave 4, Singapore 560628",CE6A36B469B2B914,20210330151704,,,,,,,,
